# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:31:48 2021
#
# Command line:   ./nu -e OPERA -f 4 -a PARAM_SCAN -t TH24=1.57 -p DM41,-2.0,2.0,80,LOGSCALE -p s22thmue,-4.01,-0.01,80,LOGSCALE 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   OPERA
# Including the following AEDL files:
#   opera.glb (version 3.0.0)
#
# AEDL variables:
#
# External analysis routines included:
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   TH24 = 1.57
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    80  0x1
#     s22thmue,      -4.01,      -0.01,    80  0x1
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x0
#
# General parameter scan
#
#                  DM41        s22thmue       chi2_NH          chi2_IH
                   -1.8           -3.51    0.5459299949    0.5433296645
                   -1.8           -3.46    0.5237448655    0.5210537994
                   -1.8           -3.41    0.5003813099    0.4976182672
                   -1.8           -3.36    0.4760320577    0.4732227415
                   -1.8           -3.31    0.4509803438    0.4481589279
                   -1.8           -3.26    0.4256220402    0.4228329464
                   -1.8           -3.21    0.4004916438    0.3977915956
                   -1.8           -3.16    0.3762925048    0.3737528798
                   -1.8           -3.11    0.3539316438    0.3516411458
                   -1.8           -3.06    0.3345594459    0.3326271113
                   -1.8           -3.01    0.3196144233    0.3181729677
                   -1.8           -2.96    0.3108730975    0.3100825961
                   -1.8           -2.91    0.3105048559    0.3105567361
                   -1.8           -2.86    0.3211313751    0.3222526743
                   -1.8           -2.81    0.3458898482    0.3483476609
                   -1.8           -2.76    0.3884988002    0.3926047995
                   -1.8           -2.71     0.453324691    0.4594395594
                   -1.8           -2.66    0.5454467785    0.5539843212
                   -1.8           -2.61    0.6707168155     0.682147456
                   -1.8           -2.56    0.8358090757    0.8506623463
                   -1.8           -2.51     1.048254928     1.067120461
                   -1.8           -2.46     1.316454698     1.339981118
                   -1.8           -2.41       1.6496579     1.678548874
                   -1.8           -2.36     2.057901095     2.092907684
                   -1.8           -2.31      2.55189074     2.593799039
                   -1.8           -2.26     3.142816527     3.192429487
                   -1.8           -2.21     3.842079165     3.900191389
                   -1.8           -2.16     4.660915677     4.728279992
