# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:38:10 2021
#
# Command line:   ./nu -e MUBOONE -f 4 -a PARAM_SCAN --no-ih --bf-spectrum -p DM41,-2.,2.,40,LOGSCALE -p s22thmue,-4.,0.,40,LOGSCALE -p Um4,0.025,0.775,15 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   MUBOONE
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   microBooNE
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    40  0x1
#     s22thmue,         -4,          0,    40  0x1
#          Um4,      0.025,      0.775,    15  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing microBooNE code ...
# Flags in MicroBooNE code: OSC_NO_NUBAR OSC_NO_NUMU 
# General parameter scan
#
#                  DM41        s22thmue             Um4       chi2_NH          chi2_IH
                     -2            -2.4           0.375     25.00371595           1e+50
                     -2            -2.4           0.425     25.00370283           1e+50
                     -2            -2.4           0.475      25.0036878           1e+50
                     -2            -2.4           0.525     25.00367092           1e+50
                     -2            -2.4           0.575     25.00365219           1e+50
                     -2            -2.4           0.625     25.00363161           1e+50
                     -2            -2.4           0.675     25.00360915           1e+50
                     -2            -2.4           0.725     25.00358477           1e+50
                     -2            -2.4           0.775      25.0035584           1e+50
                     -2            -2.3           0.025           1e+50           1e+50
                     -2            -2.3           0.075     25.00380492           1e+50
                     -2            -2.3           0.125     25.00385066           1e+50
                     -2            -2.3           0.175     25.00385901           1e+50
                     -2            -2.3           0.225     25.00385769           1e+50
                     -2            -2.3           0.275     25.00385191           1e+50
                     -2            -2.3           0.325     25.00384321           1e+50
                     -2            -2.3           0.375     25.00383217           1e+50
                     -2            -2.3           0.425     25.00381904           1e+50
                     -2            -2.3           0.475     25.00380395           1e+50
                     -2            -2.3           0.525     25.00378694           1e+50
                     -2            -2.3           0.575     25.00376805           1e+50
                     -2            -2.3           0.625     25.00374726           1e+50
                     -2            -2.3           0.675     25.00372454           1e+50
                     -2            -2.3           0.725     25.00369987           1e+50
                     -2            -2.3           0.775     25.00367314           1e+50
                     -2            -2.2           0.025           1e+50           1e+50
                     -2            -2.2           0.075     25.00393062           1e+50
                     -2            -2.2           0.125     25.00398996           1e+50
                     -2            -2.2           0.175     25.00400194           1e+50
                     -2            -2.2           0.225     25.00400206           1e+50
                     -2            -2.2           0.275     25.00399695           1e+50
                     -2            -2.2           0.325     25.00398857           1e+50
                     -2            -2.2           0.375     25.00397767           1e+50
                     -2            -2.2           0.425     25.00396456           1e+50
                     -2            -2.2           0.475      25.0039494           1e+50
                     -2            -2.2           0.525     25.00393228           1e+50
                     -2            -2.2           0.575      25.0039132           1e+50
                     -2            -2.2           0.625     25.00389219           1e+50
                     -2            -2.2           0.675      25.0038692           1e+50
                     -2            -2.2           0.725     25.00384418           1e+50
                     -2            -2.2           0.775     25.00381705           1e+50
                     -2            -2.1           0.025           1e+50           1e+50
                     -2            -2.1           0.075     25.00408726           1e+50
                     -2            -2.1           0.125      25.0041642           1e+50
                     -2            -2.1           0.175     25.00418087           1e+50
                     -2            -2.1           0.225     25.00418285           1e+50
                     -2            -2.1           0.275     25.00417861           1e+50
                     -2            -2.1           0.325     25.00417066           1e+50
                     -2            -2.1           0.375     25.00415995           1e+50
                     -2            -2.1           0.425     25.00414689           1e+50
                     -2            -2.1           0.475     25.00413169           1e+50
                     -2            -2.1           0.525     25.00411444           1e+50
                     -2            -2.1           0.575     25.00409518           1e+50
                     -2            -2.1           0.625     25.00407391           1e+50
                     -2            -2.1           0.675     25.00405061           1e+50
                     -2            -2.1           0.725     25.00402523           1e+50
                     -2            -2.1           0.775     25.00399765           1e+50
                     -2              -2           0.025           1e+50           1e+50
                     -2              -2           0.075     25.00428234           1e+50
                     -2              -2           0.125     25.00438227           1e+50
                     -2              -2           0.175     25.00440499           1e+50
                     -2              -2           0.225     25.00440937           1e+50
                     -2              -2           0.275     25.00440627           1e+50
                     -2              -2           0.325     25.00439889           1e+50
                     -2              -2           0.375     25.00438846           1e+50
                     -2              -2           0.425     25.00437549           1e+50
                     -2              -2           0.475     25.00436026           1e+50
                     -2              -2           0.525     25.00434289           1e+50
                     -2              -2           0.575     25.00432343           1e+50
                     -2              -2           0.625     25.00430189           1e+50
                     -2              -2           0.675     25.00427825           1e+50
                     -2              -2           0.725     25.00425245           1e+50
                     -2              -2           0.775     25.00422439           1e+50
                     -2            -1.9           0.025           1e+50           1e+50
                     -2            -1.9           0.075     25.00452491           1e+50
                     -2            -1.9           0.125      25.0046553           1e+50
                     -2            -1.9           0.175     25.00468586           1e+50
                     -2            -1.9           0.225     25.00469336           1e+50
                     -2            -1.9           0.275     25.00469174           1e+50
                     -2            -1.9           0.325     25.00468512           1e+50
                     -2            -1.9           0.375     25.00467507           1e+50
                     -2            -1.9           0.425     25.00466226           1e+50
